Enum Name,Value,Entry Name
DynamicModuleControl__ModuleType,0,Invalid
DynamicModuleControl__ModuleType,1,LoadToMainRAM
DynamicModuleControl__ModuleType,2,LoadToARAM
DynamicModuleControl__ModuleType,3,LoadToDVDRAM
DynamicModuleControl__ModuleType,7,LoadFromDisk
DynamicModuleControl__ModuleType,11,LoadFromCache
EMountMode,0,None
EMountMode,1,Mem
EMountMode,2,ARAM
EMountMode,3,DVD
EMountMode,4,Comp
GbaNames,1,Bokoblin
GbaNames,4,Stalfos
GbaNames,5,Magtail
GbaNames,10,YellowChuChu
GbaNames,16,DarkChuChu
GbaNames,21,RedChuChu
GbaNames,22,GreenChuChu
GbaNames,24,Rat
GbaNames,30,BlueChuChu
GbaNames,61,PushableBlock
HeldItemType,256,NoItem
J2DBindingType,1,BindingBottom
J2DBindingType,2,BindingTop
J2DBindingType,4,BindingRight
J2DBindingType,8,BindingLeft
J2DTextBoxHBindingType,0,HBindingCenter
J2DTextBoxHBindingType,1,HBindingRight
J2DTextBoxHBindingType,2,HBindingLeft
J2DTextBoxVBindingType,0,VBindingCenter
J2DTextBoxVBindingType,1,VBindingBottom
J2DTextBoxVBindingType,2,VBindingTop
J2DTypeID,0,J2DGrafContext
J2DTypeID,1,J2DOrthoGraph
J2DTypeID,8,J2DScreen
J2DTypeID,16,J2DPane
J2DTypeID,17,J2DWindow
J2DTypeID,18,J2DPicture
J2DTypeID,19,J2DTextBox
J2DWrapModeType,0,None
J2DWrapModeType,1,Clamp
J2DWrapModeType,2,Repeat
J2DWrapModeType,3,Mirror
J3DFrameCtrl__LoopMode,0,Once
J3DFrameCtrl__LoopMode,1,OnceAndRepeat
J3DFrameCtrl__LoopMode,2,Repeat
J3DFrameCtrl__LoopMode,3,MirroredOnce
J3DFrameCtrl__LoopMode,4,MirroredRepeat
JAISoundInfoID,0,JA_STRM_PROLOGUE
JAISoundInfoID,1,JA_BGM_ISLAND_LINK
JAISoundInfoID,1,JA_STRM_DEMO_TETRA_FLY
JAISoundInfoID,2,JA_BGM_ITEM_GET
JAISoundInfoID,2,JA_STRM_BTD_START
JAISoundInfoID,3,JA_BGM_GOMA
JAISoundInfoID,3,JA_STRM_BOSS_CLEAR
JAISoundInfoID,4,JA_BGM_BATTLE_NORM
JAISoundInfoID,4,JA_STRM_DEMO_MJ_SISTER
