Pointer Name,Target Data Type,DataStructType
$BAD__GXColor *,$BAD__GXColor,Structure
$BAD__GXColorS10 *,$BAD__GXColorS10,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Act_c *,Act_c,Structure
Actor *,Actor,Structure
Anm_c *,Anm_c,Structure
BgcSrc_c *,BgcSrc_c,Structure
Bgc_c *,Bgc_c,Structure
CARDFileInfo *,CARDFileInfo,Structure
CArcName *,CArcName,Structure
CMemBlock *,CMemBlock,Structure
CRumble *,CRumble,Structure
CTime *,CTime,Structure
CardBlockData *,CardBlockData,Structure
CardBlockData * *,CardBlockData *,Pointer
CcAtInfo *,CcAtInfo,Structure
Ctrl_c *,Ctrl_c,Structure
DOUBLE_POS *,DOUBLE_POS,Structure
DSPBuffer *,DSPBuffer,Structure
DVDCommandBlock *,DVDCommandBlock,Structure
DVDFileInfo *,DVDFileInfo,Structure
DummyVec *,DummyVec,Structure
DynamicModule *,DynamicModule,Structure
DynamicModuleControl *,DynamicModuleControl,Structure
DynamicModuleControlBase *,DynamicModuleControlBase,Structure
DynamicModuleControlBase__vtbl *,DynamicModuleControlBase__vtbl,Structure
DynamicModule__ImpEntry *,DynamicModule__ImpEntry,Structure
DynamicModule__SectionInfo *,DynamicModule__SectionInfo,Structure
EVP_PKEY_CTX *,EVP_PKEY_CTX,TypeDef
FILE *,FILE,TypeDef
FmapChkPnt *,FmapChkPnt,Structure
FmapChkPnt[49] *,FmapChkPnt[49],Array
FmapData *,FmapData,Structure
FmapDataP *,FmapDataP,Structure
FmapDataPntP *,FmapDataPntP,Structure
FuncDef500 *,FuncDef500,FunctionDefinition
FuncDef501 *,FuncDef501,FunctionDefinition
FuncDef550 *,FuncDef550,FunctionDefinition
FuncDef551 *,FuncDef551,FunctionDefinition
