Type Definition Name,Base Data Type,DataStructType
...,dword,Unknown
AnmID_e,dword,Unknown
AttrSt_e,dword,Unknown
BOOL,int,Unknown
EAllocDirection,dword,Unknown
EAllocMode,dword,Unknown
EConsoleType,dword,Unknown
EInfoPage,dword,Unknown
EMountDirection,dword,Unknown
EPadPort,dword,Unknown
ERumble,dword,Unknown
EStickMode,dword,Unknown
EVP_PKEY_CTX,evp_pkey_ctx_st,Structure
EWhichStick,dword,Unknown
EXfbNumber,dword,Unknown
FILE,_IO_FILE,Structure
GXAlphaOp,_GXAlphaOp,Enum
GXAnisotropy,_GXAnisotropy,Enum
GXAttnFn,_GXAttnFn,Enum
GXAttr,_GXAttr,Enum
GXAttrType,_GXAttrType,Enum
GXBlendFactor,_GXBlendFactor,Enum
GXBlendMode,_GXBlendMode,Enum
GXBool,byte,Unknown
GXChannelID,_GXChannelID,Enum
GXColor,_GXColor,Structure
GXColorSrc,_GXColorSrc,Enum
GXCompCnt,_GXCompCnt,Enum
GXCompType,_GXCompType,Enum
GXCompare,_GXCompare,Enum
GXDiffuseFn,_GXDiffuseFn,Enum
GXDistAttnFn,_GXDistAttnFn,Enum
GXFogAdjTable,_GXFogAdjTable,Structure
GXIndTexMtxID,_GXIndTexMtxID,Enum
GXLightID,_GXLightID,Enum
GXLogicOp,_GXLogicOp,Enum
GXPTTexMtx,_GXPTTexMtx,Enum
GXProjectionType,_GXProjectionType,Enum
GXSpotFn,_GXSpotFn,Enum
GXTevAlphaArg,_GXTevAlphaArg,Enum
GXTevBias,_GXTevBias,Enum
GXTevColorArg,_GXTevColorArg,Enum
GXTevOp,_GXTevOp,Enum
GXTevRegID,_GXTevRegID,Enum
GXTevScale,_GXTevScale,Enum
GXTevStageID,_GXTevStageID,Enum
GXTexCacheSize,_GXTexCacheSize,Enum
GXTexCoordID,_GXTexCoordID,Enum
GXTexFilter,_GXTexFilter,Enum
GXTexFmt,_GXTexFmt,Enum
GXTexGenSrc,_GXTexGenSrc,Enum
GXTexGenType,_GXTexGenType,Enum
GXTexMapID,_GXTexMapID,Enum
GXTexMtx,_GXTexMtx,Enum
GXTexObj,_GXTexObj,Structure
GXTexRegion,_GXTexRegion,Structure
GXTexWrapMode,_GXTexWrapMode,Enum
GXTlutFmt,_GXTlutFmt,Enum
GXTlutObj,_GXTlutObj,Structure
GXVtxFmt,_GXVtxFmt,Enum
J2DBasePosition,dword,Unknown
J2DBinding,dword,Unknown
J2DMirror,dword,Unknown
J2DTextBoxHBinding,dword,Unknown
J2DTextBoxVBinding,dword,Unknown
J3DAlphaComp,dword,Unknown
J3DBlend,dword,Unknown
J3DGXColor,dword,Unknown
J3DGXColorS10,dword,Unknown
J3DIndTevStage,dword,Unknown
J3DIndTexCoordScale,dword,Unknown
J3DIndTexMtx,dword,Unknown
J3DMaterialCopyFlag,dword,Unknown
J3DNBTScale,dword,Unknown
J3DTevOrder,dword,Unknown
J3DTevSwapModeInfo,dword,Unknown
J3DTevSwapModeTable,dword,Unknown
J3DZMode,dword,Unknown
JKRExpandSwitch,dword,Unknown
JKRMemBreakFlag,dword,Unknown
JSUStreamSeekFrom,dword,Unknown
JUTTransparency,dword,Unknown
MaterialType,dword,Unknown
Mode_e,dword,Unknown
Mode_e,dword,Unknown
Mode_e,dword,Unknown
Mode_e,dword,Unknown
OSMessage,void *,Pointer
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Param_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Prm_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Proc_e,dword,Unknown
Ptn_e,dword,Unknown
PushPullLabel,dword,Unknown
State_e,dword,Unknown
TColor,dword,Unknown
TECameraProjection,dword,Unknown
TECameraView,dword,Unknown
TEComposite,dword,Unknown
TELight,dword,Unknown
TEObject,dword,Unknown
TEOperationData,dword,Unknown
TIterator_data_,dword,Unknown
TIterator_data_,dword,Unknown
TPRObject_ID_equal,dword,Unknown
TVec2<float>,dword,Unknown
Type,dword,Unknown
Type_e,dword,Unknown
_GXFogType,dword,Unknown
_GXGamma,dword,Unknown
_GXTexCacheSize,dword,Unknown
_GXTexMapID,dword,Unknown
_GXTlut,dword,Unknown
_GXTlutFmt,dword,Unknown
_IO_lock_t,void,Unknown
__FILE,_IO_FILE,Structure
__gnuc_va_list,void *,Pointer
__off64_t,longlong,Unknown
__off_t,long,Unknown
__pid_t,int,Unknown
__quad_t,longlong,Unknown
__ssize_t,int,Unknown
dCcG_At_Spl,dword,Unknown
daPy_ANM,dword,Unknown
daPy_HEAP_TYPE,dword,Unknown
daPy_PROC,dword,Unknown
daPy_UPPER,dword,Unknown
f32,float,Unknown
int32_t,int,Unknown
int64_t,longlong,Unknown
iterator,dword,Unknown
iterator,dword,Unknown
iterator,dword,Unknown
less<double>,dword,Unknown
long_long,dword,Unknown
s16,short,Unknown
s32,int,Unknown
s64,longlong,Unknown
s8,sbyte,Unknown
size_t,ulong,Unknown
ssize_t,int,Unknown
u16,ushort,Unknown
u32,uint,Unknown
u64,ulonglong,Unknown
u8,byte,Unknown
u8.conflict,byte,Unknown
uint64_t,ulonglong,Unknown
