ProcName,ProcValue,StructName,FileName,Guess
PROC_OVERLAP0,0,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP1,1,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP6,2,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP7,3,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP8,4,fopAc_ac_c,unmapped.cpp,True
PROC_LOGO_SCENE,5,fopAc_ac_c,unmapped.cpp,True
PROC_MENU_SCENE,6,fopAc_ac_c,unmapped.cpp,True
PROC_PLAY_SCENE,7,fopAc_ac_c,unmapped.cpp,True
PROC_OPENING_SCENE,8,fopAc_ac_c,unmapped.cpp,True
PROC_OPENING2_SCENE,9,fopAc_ac_c,unmapped.cpp,True
PROC_TITLE_SCENE,10,fopAc_ac_c,unmapped.cpp,True
PROC_ENDING_SCENE,11,fopAc_ac_c,unmapped.cpp,True
PROC_NAME_SCENE,12,fopAc_ac_c,unmapped.cpp,True
PROC_NAMEEX_SCENE,13,fopAc_ac_c,unmapped.cpp,True
PROC_OPEN_SCENE,14,fopAc_ac_c,unmapped.cpp,True
PROC_OPEN2_SCENE,15,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP2,16,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP3,17,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP4,18,fopAc_ac_c,unmapped.cpp,True
PROC_OVERLAP5,19,fopAc_ac_c,unmapped.cpp,True
PROC_ROOM_SCENE,20,fopAc_ac_c,unmapped.cpp,True
PROC_KANKYO,21,dScnKy_env_light_c,unmapped.cpp,True
PROC_ALLDIE,22,daAlldie_c,d_a_alldie.cpp,False
PROC_ENVSE,23,fopAc_ac_c,unmapped.cpp,True
PROC_WIND_ARROW,24,fopAc_ac_c,unmapped.cpp,True
PROC_WPOT_WATER,25,fopAc_ac_c,unmapped.cpp,True
PROC_LEVEL_SE,26,fopAc_ac_c,unmapped.cpp,True
PROC_THROWSTONE,27,fopAc_ac_c,unmapped.cpp,True
PROC_TAG_EVSW,28,Act_c,d_a_tag_evsw.cpp,True
PROC_TAG_SO,37,daTag_So_c,d_a_tag_so.cpp,True
PROC_SEATAG,39,daSeatag_c,d_a_seatag.cpp,False
PROC_SEA,40,sea_class,d_a_sea.cpp,False
PROC_SCENECHG,43,d_a_scene_change_c,d_a_scene_change.cpp,False
PROC_MGBOARD,64,fopAc_ac_c,unmapped.cpp,True
PROC_OBJ_CANON,65,daObj_Canon_c,d_a_obj_canon.cpp,True
PROC_OBJ_OTBLE,66,Act_c,d_a_obj_otble.cpp,True
PROC_OBJ_WARPT,67,daObj_Warpt_c,d_a_obj_warpt.cpp,True
PROC_OBJ_SEARCH,68,Act_c,d_a_obj_search.cpp,True
PROC_OBJ_TORIPOST,69,daObjTpost_c,d_a_obj_toripost.cpp,False
PROC_OBJ_IKADA,70,daObj_Ikada_c,d_a_obj_ikada.cpp,True
PROC_OBJ_MJDOOR,71,fopAc_ac_c,unmapped.cpp,True
PROC_OBJ_PFALL,72,daObj_Pfall_c,d_a_obj_pfall.cpp,True
PROC_OBJ_HOLE,73,daObj_Hole_c,d_a_obj_hole.cpp,False
PROC_BRIDGE,91,bridge_class,d_a_bridge.cpp,True
PROC_MSW,92,msw_class,d_a_msw.cpp,True
PROC_MFLFT,93,mflft_class,d_a_mflft.cpp,True
PROC_KLFT,94,klft_class,d_a_klft.cpp,True
PROC_ICE_LIFT,95,daIlift_c,d_a_icelift.cpp,True
PROC_AMI_PROP,96,daAmiProp_c,d_a_amiprop.cpp,True
PROC_PEDESTAL,97,daPds_c,d_a_pedestal.cpp,True
PROC_FLOOR,98,daFloor_c,d_a_floor.cpp,False
PROC_KITA,99,kita_class,d_a_kita.cpp,True
PROC_KOKIIE,100,kokiie_class,d_a_kokiie.cpp,True
PROC_SHAND,101,shand_class,d_a_shand.cpp,True
PROC_BITA,102,bita_class,d_a_bita.cpp,False
PROC_SK,103,sk_class,d_a_sk.cpp,True
PROC_SK2,104,sk2_class,d_a_sk2.cpp,True
PROC_SSK,105,ssk_class,d_a_ssk.cpp,True
PROC_WARPFLOWER,106,fopAc_ac_c,unmapped.cpp,True
PROC_WARPFOUT,107,daWarpfout_c,d_a_warpfout.cpp,False
PROC_WARPLIGHT,108,fopAc_ac_c,unmapped.cpp,True
PROC_WARPHYRULE,109,fopAc_ac_c,unmapped.cpp,True
